"","title","budget","revenue","profit","profitable","profitable.ind","release_date","release_year","genre","runtime","vote_average","vote_count","event"
"1","Avatar",237000000,2787965087,2550965087,"Profitable",1,2009-12-10,2009,"Action/Adventure",162,7.2,11800,"holiday"
"2","Pirates of the Caribbean: At World's End",300000000,961000000,661000000,"Profitable",1,2007-05-19,2007,"Action/Adventure",169,6.9,4500,"na"
"3","Spectre",245000000,880674609,635674609,"Profitable",1,2015-10-26,2015,"Action/Adventure",148,6.3,4466,"na"
"4","The Dark Knight Rises",250000000,1084939099,834939099,"Profitable",1,2012-07-16,2012,"Drama",165,7.6,9106,"summer"
"5","John Carter",260000000,284139100,24139100,"Profitable",1,2012-03-07,2012,"Action/Adventure",132,6.1,2124,"na"
"6","Spider-Man 3",258000000,890871626,632871626,"Profitable",1,2007-05-01,2007,"Action/Adventure",139,5.9,3576,"na"
"7","Tangled",260000000,591794936,331794936,"Profitable",1,2010-11-24,2010,"Family/Animation",100,7.4,3330,"holiday"
"8","Avengers: Age of Ultron",280000000,1405403694,1125403694,"Profitable",1,2015-04-22,2015,"Action/Adventure",141,7.3,6767,"na"
"9","Harry Potter and the Half-Blood Prince",250000000,933959197,683959197,"Profitable",1,2009-07-07,2009,"Action/Adventure",153,7.4,5293,"summer"
"10","Batman v Superman: Dawn of Justice",250000000,873260194,623260194,"Profitable",1,2016-03-23,2016,"Action/Adventure",151,5.7,7004,"na"
"11","Superman Returns",270000000,391081192,121081192,"Profitable",1,2006-06-28,2006,"Action/Adventure",154,5.4,1400,"summer"
"12","Quantum of Solace",200000000,586090727,386090727,"Profitable",1,2008-10-30,2008,"Action/Adventure",106,6.1,2965,"na"
"13","Pirates of the Caribbean: Dead Man's Chest",200000000,1065659812,865659812,"Profitable",1,2006-06-20,2006,"Action/Adventure",151,7,5246,"summer"
"14","The Lone Ranger",255000000,89289910,-165710090,"Not Profitable",0,2013-07-03,2013,"Action/Adventure",149,5.9,2311,"summer"
"15","Man of Steel",225000000,662845518,437845518,"Profitable",1,2013-06-12,2013,"Action/Adventure",143,6.5,6359,"summer"
"16","The Chronicles of Narnia: Prince Caspian",225000000,419651413,194651413,"Profitable",1,2008-05-15,2008,"Action/Adventure",150,6.3,1630,"na"
"17","The Avengers",220000000,1519557910,1299557910,"Profitable",1,2012-04-25,2012,"Action/Adventure",143,7.4,11776,"na"
"18","Pirates of the Caribbean: On Stranger Tides",380000000,1045713802,665713802,"Profitable",1,2011-05-14,2011,"Action/Adventure",136,6.4,4948,"na"
"19","Men in Black 3",225000000,624026776,399026776,"Profitable",1,2012-05-23,2012,"Comedy",106,6.2,4160,"na"
"20","The Hobbit: The Battle of the Five Armies",250000000,956019788,706019788,"Profitable",1,2014-12-10,2014,"Action/Adventure",144,7.1,4760,"holiday"
"21","The Amazing Spider-Man",215000000,752215857,537215857,"Profitable",1,2012-06-27,2012,"Action/Adventure",136,6.5,6586,"summer"
"22","Robin Hood",200000000,310669540,110669540,"Profitable",1,2010-05-12,2010,"Action/Adventure",140,6.2,1398,"na"
"23","The Hobbit: The Desolation of Smaug",250000000,958400000,708400000,"Profitable",1,2013-12-11,2013,"Action/Adventure",161,7.6,4524,"holiday"
"24","The Golden Compass",180000000,372234864,192234864,"Profitable",1,2007-12-04,2007,"Action/Adventure",113,5.8,1303,"holiday"
"25","King Kong",207000000,550000000,343000000,"Profitable",1,2005-12-14,2005,"Drama",187,6.6,2337,"holiday"
"26","Captain America: Civil War",250000000,1153304495,903304495,"Profitable",1,2016-04-27,2016,"Action/Adventure",147,7.1,7241,"na"
"27","Battleship",209000000,303025485,94025485,"Profitable",1,2012-04-11,2012,"Action/Adventure",131,5.5,2114,"na"
"28","Jurassic World",150000000,1513528810,1363528810,"Profitable",1,2015-06-09,2015,"Action/Adventure",124,6.5,8662,"summer"
"29","Skyfall",200000000,1108561013,908561013,"Profitable",1,2012-10-25,2012,"Action/Adventure",143,6.9,7604,"na"
"30","Spider-Man 2",200000000,783766341,583766341,"Profitable",1,2004-06-25,2004,"Action/Adventure",127,6.7,4321,"summer"
"31","Iron Man 3",200000000,1215439994,1015439994,"Profitable",1,2013-04-18,2013,"Action/Adventure",130,6.8,8806,"na"
"32","Alice in Wonderland",200000000,1025491110,825491110,"Profitable",1,2010-03-03,2010,"Action/Adventure",108,6.4,4645,"na"
"33","X-Men: The Last Stand",210000000,459359555,249359555,"Profitable",1,2006-05-24,2006,"Action/Adventure",104,6.3,3525,"na"
"34","Monsters University",200000000,743559607,543559607,"Profitable",1,2013-06-20,2013,"Family/Animation",104,7,3528,"summer"
"35","Transformers: Revenge of the Fallen",150000000,836297228,686297228,"Profitable",1,2009-06-19,2009,"Action/Adventure",150,6,3138,"summer"
"36","Transformers: Age of Extinction",210000000,1091405097,881405097,"Profitable",1,2014-06-25,2014,"Action/Adventure",165,5.8,3095,"summer"
"37","Oz: The Great and Powerful",200000000,491868548,291868548,"Profitable",1,2013-03-07,2013,"Action/Adventure",130,5.7,3530,"na"
"38","The Amazing Spider-Man 2",200000000,705717432,505717432,"Profitable",1,2014-04-16,2014,"Action/Adventure",142,6.5,4179,"na"
"39","TRON: Legacy",170000000,400062763,230062763,"Profitable",1,2010-12-10,2010,"Action/Adventure",125,6.3,2841,"holiday"
"40","Cars 2",200000000,559852396,359852396,"Profitable",1,2011-06-11,2011,"Comedy",106,5.8,2033,"summer"
"41","Green Lantern",200000000,219851172,19851172,"Profitable",1,2011-06-16,2011,"Action/Adventure",114,5.1,2487,"summer"
"42","Toy Story 3",200000000,1066969703,866969703,"Profitable",1,2010-06-16,2010,"Comedy",103,7.6,4597,"summer"
"43","Terminator Salvation",200000000,371353001,171353001,"Profitable",1,2009-05-20,2009,"Action/Adventure",115,5.9,2463,"na"
"44","Furious 7",190000000,1506249360,1316249360,"Profitable",1,2015-04-01,2015,"Action/Adventure",137,7.3,4176,"na"
"45","World War Z",200000000,531865000,331865000,"Profitable",1,2013-06-20,2013,"Drama",116,6.7,5560,"summer"
"46","X-Men: Days of Future Past",250000000,747862775,497862775,"Profitable",1,2014-05-15,2014,"Action/Adventure",131,7.5,6032,"na"
"47","Star Trek Into Darkness",190000000,467365246,277365246,"Profitable",1,2013-05-05,2013,"Action/Adventure",132,7.4,4418,"na"
"48","Jack the Giant Slayer",195000000,197687603,2687603,"Profitable",1,2013-02-27,2013,"Action/Adventure",114,5.5,2598,"na"
"49","The Great Gatsby",105000000,351040419,246040419,"Profitable",1,2013-05-10,2013,"Drama",143,7.3,3769,"na"
"50","Prince of Persia: The Sands of Time",150000000,335154643,185154643,"Profitable",1,2010-05-19,2010,"Action/Adventure",116,6.2,2317,"na"
"51","Pacific Rim",180000000,407602906,227602906,"Profitable",1,2013-07-11,2013,"Action/Adventure",131,6.7,4794,"summer"
"52","Transformers: Dark of the Moon",195000000,1123746996,928746996,"Profitable",1,2011-06-28,2011,"Action/Adventure",154,6.1,3299,"summer"
"53","Indiana Jones and the Kingdom of the Crystal Skull",185000000,786636033,601636033,"Profitable",1,2008-05-21,2008,"Action/Adventure",122,5.7,2495,"na"
"54","The Good Dinosaur",175000000,331926147,156926147,"Profitable",1,2015-11-14,2015,"Action/Adventure",93,6.6,1736,"holiday"
"55","Brave",185000000,538983207,353983207,"Profitable",1,2012-06-21,2012,"Comedy",93,6.7,4641,"summer"
"56","Star Trek Beyond",185000000,343471816,158471816,"Profitable",1,2016-07-07,2016,"Action/Adventure",122,6.6,2568,"summer"
"57","WALL·E",180000000,521311860,341311860,"Profitable",1,2008-06-22,2008,"Family/Animation",98,7.8,6296,"summer"
"58","Rush Hour 3",140000000,258022233,118022233,"Profitable",1,2007-08-08,2007,"Comedy",91,6.1,783,"summer"
"59","2012",200000000,769653595,569653595,"Profitable",1,2009-10-10,2009,"Action/Adventure",158,5.6,4903,"na"
"60","A Christmas Carol",200000000,325233863,125233863,"Profitable",1,2009-11-04,2009,"Drama",96,6.6,1095,"holiday"
"61","Jupiter Ascending",176000003,183987723,7987720,"Profitable",1,2015-02-04,2015,"Action/Adventure",124,5.2,2768,"na"
"62","The Legend of Tarzan",180000000,356743061,176743061,"Profitable",1,2016-06-29,2016,"Action/Adventure",109,5.5,2430,"summer"
"63","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,568806957,"Profitable",1,2005-12-07,2005,"Action/Adventure",143,6.7,2629,"holiday"
"64","X-Men: Apocalypse",178000000,543934787,365934787,"Profitable",1,2016-05-18,2016,"Sci-fi/Fantasy",144,6.4,4721,"na"
"65","The Dark Knight",185000000,1004558444,819558444,"Profitable",1,2008-07-16,2008,"Drama",152,8.2,12002,"summer"
"66","Up",175000000,735099082,560099082,"Profitable",1,2009-05-13,2009,"Comedy",96,7.7,6870,"na"
"67","Monsters vs Aliens",175000000,381509870,206509870,"Profitable",1,2009-03-19,2009,"Action/Adventure",94,6,1423,"na"
"68","Iron Man",140000000,585174222,445174222,"Profitable",1,2008-04-30,2008,"Action/Adventure",126,7.4,8776,"na"
"69","Hugo",170000000,185770160,15770160,"Profitable",1,2011-11-22,2011,"Drama",126,7,2141,"holiday"
"70","The Mummy: Tomb of the Dragon Emperor",145000000,401128639,256128639,"Profitable",1,2008-07-01,2008,"Action/Adventure",112,5.2,1387,"summer"
"71","Suicide Squad",175000000,745000000,570000000,"Profitable",1,2016-08-02,2016,"Action/Adventure",123,5.9,7458,"summer"
"72","Evan Almighty",175000000,173000000,-2000000,"Not Profitable",0,2007-06-09,2007,"Comedy",96,5.3,1151,"summer"
"73","Edge of Tomorrow",178000000,370541256,192541256,"Profitable",1,2014-05-27,2014,"Action/Adventure",113,7.6,4858,"na"
"74","G.I. Joe: The Rise of Cobra",175000000,302469017,127469017,"Profitable",1,2009-08-04,2009,"Action/Adventure",118,5.6,1962,"summer"
"75","Inside Out",175000000,857611174,682611174,"Profitable",1,2015-06-09,2015,"Drama",94,8,6560,"summer"
"76","The Jungle Book",175000000,966550600,791550600,"Profitable",1,2016-04-07,2016,"Drama",106,6.7,2892,"na"
"77","Iron Man 2",200000000,623933331,423933331,"Profitable",1,2010-04-28,2010,"Action/Adventure",124,6.6,6849,"na"
"78","Snow White and the Huntsman",170000000,396600000,226600000,"Profitable",1,2012-05-30,2012,"Drama",127,5.8,3118,"na"
"79","Maleficent",180000000,758539785,578539785,"Profitable",1,2014-05-28,2014,"Action/Adventure",97,7,4496,"na"
"80","Dawn of the Planet of the Apes",170000000,710644566,540644566,"Profitable",1,2014-06-26,2014,"Drama",130,7.3,4410,"summer"
"81","47 Ronin",175000000,150962475,-24037525,"Not Profitable",0,2013-12-06,2013,"Drama",119,5.9,1326,"holiday"
"82","Captain America: The Winter Soldier",170000000,714766572,544766572,"Profitable",1,2014-03-20,2014,"Action/Adventure",136,7.6,5764,"na"
"83","Shrek Forever After",165000000,752600867,587600867,"Profitable",1,2010-05-16,2010,"Comedy",93,6,1959,"na"
"84","Tomorrowland",190000000,209154322,19154322,"Profitable",1,2015-05-19,2015,"Action/Adventure",130,6.2,2846,"na"
"85","Big Hero 6",165000000,652105443,487105443,"Profitable",1,2014-10-24,2014,"Comedy",102,7.8,6135,"na"
"86","Wreck-It Ralph",165000000,471222889,306222889,"Profitable",1,2012-11-01,2012,"Comedy",108,7.1,4570,"holiday"
"87","The Polar Express",165000000,305875730,140875730,"Profitable",1,2004-11-10,2004,"Action/Adventure",100,6.4,1474,"holiday"
"88","Independence Day: Resurgence",165000000,389681935,224681935,"Profitable",1,2016-06-22,2016,"Action/Adventure",120,4.9,2491,"summer"
"89","How to Train Your Dragon",165000000,494878759,329878759,"Profitable",1,2010-03-05,2010,"Action/Adventure",98,7.5,4227,"na"
